isin,list,last_date,cur,price_change,price_bid,price_ask,price_avg,price_open,price_close,price_high,price_low,yield_change,yield_bid,yield_ask,yield_avg,yield_open,yield_close,yield_high,yield_low,vol,snapshot_date,market
AMHEZBB2HER4,BBOND,2026-07-30,USD,-,99.9044,100.1248,-,-,-,-,-,-,5.1000,4.8665,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2IER2,BBOND,2026-07-30,AMD,-,101.7713,102.4406,-,-,-,-,-,-,9.7600,9.3050,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2JER0,BBOND,2026-07-30,USD,-,99.4322,99.8435,-,-,-,-,-,-,5.8740,5.6000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2KER8,BBOND,2026-07-30,USD,-,101.4347,102.312,-,-,-,-,-,-,5.8000,5.5300,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2LER6,BBOND,2026-07-30,AMD,-,101.8809,102.6054,-,-,-,-,-,-,9.7604,9.3000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2MER4,BBOND,2026-07-30,AMD,-,102.1631,102.9935,-,-,-,-,-,-,9.5500,9.1000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2NER2,BBOND,2026-07-30,USD,-,99.596,100.1296,-,-,-,-,-,-,5.7000,5.4312,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2OER0,BBOND,2026-07-30,AMD,-,101.9978,102.8705,-,-,-,-,-,-,9.4455,9.0000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2PER7,BBOND,2026-07-30,USD,-,99.3611,99.9957,-,-,-,-,-,-,5.7695,5.5000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2QER5,BBOND,2026-07-30,AMD,-,101.4342,102.4485,-,-,-,-,-,-,9.6000,9.1520,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHEZBB2RER3,BBOND,2026-07-30,AMD,-,100.0587,101.108,-,-,-,-,-,-,9.9655,9.5000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMHSKAB21ER2,BBOND,2026-07-30,AMD,-,99.7324,100.6981,-,-,-,-,-,-,11.9000,11.3500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2DER5,ABOND,2026-07-30,USD,-,100.0034,100.0123,-,-,-,-,-,-,4.4008,4.1958,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2FER0,ABOND,2026-07-30,USD,-,99.5126,99.7331,-,-,-,-,-,-,5.2999,5.0499,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2HER6,ABOND,2026-07-30,AMD,-,100.6564,100.8131,-,-,-,-,-,-,8.3001,7.9087,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2IER4,ABOND,2026-07-30,AMD,-,102.4097,102.9019,-,-,-,-,-,-,8.6000,8.2200,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2JER2,ABOND,2026-07-30,USD,-,99.8371,100.1053,-,-,-,-,-,-,5.4000,5.1500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2KER0,ABOND,2026-07-30,USD,-,102.1338,102.495,-,-,-,-,-,-,4.3000,4.1000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2LER8,ABOND,2026-07-30,AMD,0.7437,102.3838,102.3839,102.3838,102.3838,102.3838,102.3838,102.3838,-0.4300,9.1000,9.1000,9.1000,9.1000,9.1000,9.1000,9.1000,472,2026-07-31,corporate_bonds
AMINECB2MER6,ABOND,2026-07-30,USD,-,99.7675,100.2569,-,-,-,-,-,-,5.3680,5.1180,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2NER4,ABOND,2026-07-30,AMD,-,102,102.4853,-,-,-,-,-,-,9.2771,9.0477,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2OER2,ABOND,2026-07-30,USD,-,99.8835,100.4389,-,-,-,-,-,-,5.3000,5.0477,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2PER9,ABOND,2026-07-30,AMD,-,101.1362,102.1896,101.8086,102.1895,101.1362,102.1896,101.1362,-,9.4980,9.0500,9.2120,9.0500,9.4980,9.4980,9.0500,553,2026-07-31,corporate_bonds
AMINECB2QER7,ABOND,2026-07-30,USD,-,99.7384,100.1812,-,-,-,-,-,-,5.1426,4.9000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINECB2RER5,ABOND,2026-07-30,USD,-,99.9925,100.5908,-,-,-,-,-,-,5.0000,4.7620,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINTMB21ER7,ABOND,2026-07-30,AMD,-,101.8878,102.9559,-,-,-,-,-,-,10.9621,10.4500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINTMB22ER5,ABOND,2026-07-30,USD,-,100.5039,101.2749,-,-,-,-,-,-,7.6577,7.3000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMINTMB23ER3,ABOND,2026-07-30,AMD,-0.0016,101.7025,102.9341,101.7025,101.7025,101.7025,101.7025,101.7025,-0.0001,10.9620,10.4500,10.9620,10.9620,10.9620,10.9620,10.9620,114,2026-07-31,corporate_bonds
AMKMJOB21ER2,BBOND,2026-07-30,AMD,-,105.4894,106.5158,-,-,-,-,-,-,10.0000,9.5500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMKTELB21ER4,BBOND,2026-07-30,USD,0.0005,99.3891,99.924,99.924,99.924,99.924,99.924,99.924,0.0000,8.0773,7.7000,7.7000,7.7000,7.7000,7.7000,7.7000,585,2026-07-31,corporate_bonds
AMLUYSB23ER9,BBOND,2026-07-30,USD,-,100.4821,100.7655,-,-,-,-,-,-,7.3999,7.0600,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMLUYSB24ER7,BBOND,2026-07-30,AMD,-,102.6499,103.4726,-,-,-,-,-,-,10.4000,9.9200,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMLUYSB25ER4,BBOND,2026-07-30,USD,-,100.4899,100.702,-,-,-,-,-,-,7.6500,7.5000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMMTGRB21ER2,BBOND,2026-07-30,AMD,-,107.7537,109.6664,-,-,-,-,-,-,10.7939,10.2800,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMNAGCB21SH3,BBOND,2026-07-30,AMD,-,102.3671,103.69,-,-,-,-,-,-,12.9000,12.3018,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMNMCCB2PER5,ABOND,2026-07-30,AMD,-,101.3061,101.4389,-,-,-,-,-,-,7.5000,7.1565,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMNMCCB2QER3,ABOND,2026-07-30,AMD,-,101.5556,101.7764,-,-,-,-,-,-,7.5000,7.1565,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMNMCCB2RER1,ABOND,2026-07-30,AMD,-,102.4897,102.8801,-,-,-,-,-,-,7.3000,6.9657,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMNMCCB2SER9,ABOND,2026-07-30,AMD,-,102.7031,102.8463,102.2254,102.2254,102.2254,102.2254,102.2254,-,8.0000,7.9100,8.3016,8.3016,8.3016,8.3016,8.3016,7000,2026-07-31,corporate_bonds
AMNMCCB2TER7,ABOND,2026-07-30,AMD,-,104.5018,105.8321,104.5796,104.5796,104.5796,104.5796,104.5796,-,7.7500,7.3951,7.7291,7.7291,7.7291,7.7291,7.7291,5300,2026-07-31,corporate_bonds
AMNMCCB2UER5,ABOND,2026-07-30,AMD,-,101.9467,103.5096,-,-,-,-,-,-,8.5000,8.1107,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMNOUTB21ER8,BBOND,2026-07-30,AMD,-,100.7002,101.5633,-,-,-,-,-,-,12.5035,11.9081,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMNSANB21ER4,BBOND,2026-07-30,AMD,-,99.9943,101.2058,101.2058,101.2058,101.2058,101.2058,101.2058,-,12.0000,11.4286,11.4286,11.4286,11.4286,11.4286,11.4286,30,2026-07-31,corporate_bonds
AMPROMB2CER0,BBOND,2026-07-30,USD,-,99.9495,100.1909,-,-,-,-,-,-,5.3024,5.0499,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMPROMB2DER8,BBOND,2026-07-30,AMD,-0.0958,100.65,101.0762,100.65,100.65,100.65,100.65,100.65,0.1000,9.5500,9.0954,9.5500,9.5500,9.5500,9.5500,9.5500,500,2026-07-31,corporate_bonds
AMPROMB2EER6,BBOND,2026-07-30,USD,-,99.7223,99.9983,-,-,-,-,-,-,5.2450,5.0000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMPROMB2FER3,BBOND,2026-07-30,AMD,-,100.8,101.0361,-,-,-,-,-,-,9.2640,9.0500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMRENSB21ER7,BBOND,2026-07-30,AMD,-,99.532,100.74,-,-,-,-,-,-,12.2208,11.6500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMRENSB22ER5,BBOND,2026-07-30,USD,-,99.5929,100.4465,-,-,-,-,-,-,8.1822,7.8000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMRENSB23ER3,BBOND,2026-07-30,USD,-,99.2412,100.7382,-,-,-,-,-,-,8.7067,8.3000,-,-,-,-,-,0,2026-07-31,corporate_bonds
